Desc	Family ID	AspNid	ConCor	SacCer	ggMorZona1	ggMucLanc1	ggRhiOryz1	gzAbsCyli1	gzAbsGlau1	gzCunBlak1	gzCunEchi1	gzLicCory1	gzLinHyal1	gzMorAlpi1	gzMucCirc1	gzMucCirc2	gzMucFrag1	gzMucHiem1	gzMucPlum2	gzPodHuml1	gzRhiMicr1	gzRhiStol1	gzUmbIsab1	gzUmbRama1	gzUmbVina1
(null)	N0.HOG0000176	1	2	3	1	6	10	8	10	4	5	6	1	2	7	6	6	6	6	2	6	9	4	4	4
(null)	N0.HOG0000177	1	7	2	2	7	7	8	8	6	6	7	2	4	6	6	6	7	6	2	3	6	3	3	3
(null)	N0.HOG0000178	0	2	0	0	3	14	6	8	3	4	6	0	0	10	9	10	5	7	0	8	10	5	4	4
(null)	N0.HOG0000179	2	2	1	2	6	8	7	8	6	5	6	2	2	6	6	6	6	6	2	5	8	5	5	5
(null)	N0.HOG0000180	0	0	2	13	3	4	6	6	3	3	4	12	12	3	3	3	3	3	18	3	6	2	2	3
(null)	N0.HOG0000181	0	0	0	3	6	9	8	9	6	6	8	3	2	6	6	6	6	6	2	5	8	4	4	4
(null)	N0.HOG0000182	2	4	1	4	5	8	8	6	4	4	5	4	4	5	7	6	5	5	4	5	9	3	3	3
(null)	N0.HOG0000183	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
(null)	N0.HOG0000184	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
(null)	N0.HOG0000185	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000186	0	0	0	3	4	6	6	4	4	4	4	3	2	5	6	6	5	5	3	5	7	4	5	4
(null)	N0.HOG0000187	0	0	0	5	5	9	10	6	5	5	8	5	6	5	5	5	5	5	4	5	7	3	3	3
(null)	N0.HOG0000188	4	5	1	2	3	4	8	10	4	6	6	2	3	6	6	6	6	5	2	4	5	5	4	5
(null)	N0.HOG0000189	0	1	0	5	4	6	8	7	4	5	5	5	5	6	6	6	5	6	5	5	5	5	4	5
(null)	N0.HOG0000190	1	3	2	2	5	8	10	10	5	6	9	0	1	5	5	5	5	5	2	7	7	3	3	3
(null)	N0.HOG0000191	0	0	0	7	3	6	10	7	10	6	7	7	7	4	4	3	4	5	7	4	5	2	2	2
(null)	N0.HOG0000192	1	2	1	4	5	7	8	7	4	4	6	4	5	5	5	5	5	5	5	5	9	3	3	3
(null)	N0.HOG0000193	1	1	0	1	5	7	11	9	5	5	8	1	1	6	6	6	5	6	1	5	9	4	4	4
(null)	N0.HOG0000194	0	1	0	1	6	8	8	9	6	6	6	1	1	6	6	7	6	6	1	6	8	3	4	4
(null)	N0.HOG0000195	0	1	0	2	7	8	9	10	5	5	10	2	2	5	5	5	5	6	2	5	8	3	3	3
(null)	N0.HOG0000196	2	5	0	0	5	6	8	7	4	5	6	0	0	6	6	6	5	5	0	3	5	4	4	4
(null)	N0.HOG0000197	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
(null)	N0.HOG0000198	2	1	1	3	5	6	8	8	6	6	4	2	2	6	6	6	6	6	2	6	9	3	3	3
(null)	N0.HOG0000199	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
