Orthogroup	Duplications (all)	Duplications (50% support)
OG0001347	6	5
OG0001348	12	11
OG0001349	2	1
OG0001350	38	38
OG0001351	38	38
OG0001352	5	5
OG0001353	3	2
OG0001354	6	4
OG0001355	5	5
OG0001356	6	4
OG0001357	9	4
OG0001358	12	10
OG0001359	5	5
OG0001360	5	3
OG0001361	8	7
OG0001362	3	3
OG0001363	5	3
OG0001364	5	4
OG0001365	11	11
OG0001366	7	5
OG0001367	9	7
OG0001368	8	7
OG0001369	12	8
OG0001370	4	3
OG0001371	36	36
OG0001372	9	5
OG0001373	8	6
OG0001374	6	5
OG0001375	8	7
OG0001376	3	2
OG0001377	4	4
OG0001378	1	1
OG0001379	8	7
OG0001380	15	12
OG0001381	7	5
OG0001382	4	3
OG0001383	3	3
